0x00	Cmd_Actor_HeroFromDoor
0x01	Cmd_Actor_HeroToDoor
0x02	Cmd_Actor_HeroToRelativeDoor
0x03	Cmd_Actor_ThatActorDrawTile
0x04	Cmd_Actor_ThatActorDrawMaskTile
0x05	Cmd_Actor_ThatActorInit
0x06	Cmd_Actor_ThatActorTeleportToThatActor
0x07	Cmd_Actor_ThatActorSetAI
0x08	Cmd_Actor_ThatActorSetLoc
0x09	Cmd_Actor_ThatActorSetScript
0x0A	Cmd_Actor_ThatActorSetSpriteBase
0x0B	Cmd_Actor_ThatActorStart
0x0C	Cmd_Actor_ThatActorDelete
0x0D	Cmd_Actor_ThisActorDrawTile
0x0E	Cmd_Actor_ThisActorDrawMaskTile
0x0F	Cmd_Actor_ThisActorTeleportToThatActor
0x10	Cmd_Actor_ThisActorNewState
0x11	Cmd_Actor_ThisActorRaindrop
0x12	Cmd_Actor_RestoreActorState
0x13	Cmd_Actor_ThisActorSetAI
0x14	Cmd_Actor_ThisActorSetAnimSingle
0x15	Cmd_Actor_ThisActorSetAnimDelay
0x16	Cmd_Actor_ThisActorSetAnimScroll
0x17	Cmd_Actor_ThisActorSetLoc
0x18	Cmd_Actor_ThisActorSetSpriteBase
0x19	Cmd_Actor_ThisActorDelete
0x1A	Cmd_Actor_ThisActorWaitTile
0x1B	Cmd_Actor_KQ_ThatActorSetInterrupt
0x1C	Cmd_Actor_KQ_ThisActorSetInterrupt
0x1D	Cmd_Actor_KQ_ThisActorSaveActorSetScriptMisaligned
0x1E	Cmd_Sound_PlaySFX0
0x1F	Cmd_Sound_PlaySFX1
0x20	Cmd_Sound_SongPause_Bugged
0x21	Cmd_Sound_SongResume
0x22	Cmd_Sound_SongStart
0x23	Cmd_Sound_FanfareStart
0x24	Cmd_Sound_SongStop
0x25	Cmd_Sound_SetSongVolume
0x26	Cmd_Sound_FadeInSong
0x27	Cmd_Sound_FadeOutSong
0x28	Cmd_Battle_New
0x29	Cmd_Battle_Attack
0x2A	Cmd_Battle_Auto
0x2B	Cmd_Battle_Spell
0x2C	Cmd_Battle_Evaluate
0x2D	Cmd_Battle_Focus
0x2E	Cmd_Battle_NextTurn
0x2F	Cmd_Battle_ForgeRing
0x30	Cmd_Battle_SummonFast
0x31	Cmd_Battle_SummonDelay
0x32	Cmd_Battle_Item
0x33	Cmd_Battle_ScreenWipe
0x34	Cmd_Battle_SetReturn
0x35	Cmd_Battle_SetEncounter
0x36	Cmd_Fightscene_FightFX_BlowAway
0x37	Cmd_Fightscene_LoadArena
0x38	Cmd_Fightscene_LoadCreatureLeft
0x39	Cmd_Fightscene_TileFX_DissolveFast
0x3A	Cmd_Fightscene_TileFX_DissolveSlow
0x3B	Cmd_Fightscene_New
0x3C	Cmd_Fightscene_FightFX_PanFromTable
0x3D	Cmd_Fightscene_FightFX_Recoil
0x3E	Cmd_Fightscene_FightFX_RecoilFast
0x3F	Cmd_Fightscene_FightFX_PanConstant
0x40	Cmd_Fightscene_FightFX_Shake
0x41	Cmd_Fightscene_FightFX_Sink
0x42	Cmd_Fightscene_FightFX_Tremble
0x43	Cmd_Flow_Delay
0x44	Cmd_Flow_RandDelay
0x45	Cmd_Flow_End
0x46	Cmd_Flow_LongJumpIf
0x47	Cmd_Flow_InitSkip
0x48	Cmd_Flow_LongJump
0x49	Cmd_Flow_LocalJump
0x4A	Cmd_Flow_RandLongJump
